Branches, Wall clock time, User time, System time, Memory (kbytes)
5, 1.77, 4.57, 0.52
6, 1.79, 4.60, 0.54
7, 2.02, 4.71, 0.65
8, 2.39, 4.73, 0.59
9, 2.13, 4.87, 0.67
10, 2.03, 5.04, 0.61
11, 2.04, 4.89, 0.62
2, 1.83, 4.44, 0.57
3, 1.75, 4.39, 0.55
4, 1.78, 4.45, 0.58
5, 2.77, 4.60, 0.55
6, 1.96, 4.65, 0.55
7, 1.88, 4.58, 0.54
8, 1.97, 4.85, 0.60
9, 3.69, 4.86, 0.58
10, 1.96, 4.94, 0.58
11, 2.01, 5.05, 0.61
2, 1.68, 4.43, 0.53
3, 1.74, 4.51, 0.54
4, 1.75, 4.56, 0.55
5, 1.78, 4.51, 0.56
6, 1.79, 4.57, 0.56
7, 1.85, 4.67, 0.58
8, 1.91, 4.78, 0.59
9, 2.28, 4.61, 0.70
10, 2.60, 4.90, 0.77
11, 2.27, 4.86, 0.72
2, 2.89, 4.32, 0.64
3, 1.88, 4.36, 0.71
4, 1.98, 4.34, 0.69
5, 3.65, 4.37, 0.72
6, 1.98, 4.77, 0.67
7, 2.44, 4.74, 0.70
8, 1.95, 4.65, 0.67
9, 2.01, 4.72, 0.67
10, 2.06, 4.83, 0.69
11, 2.07, 5.03, 0.64
