States, Wall clock time, User time, System time, Memory (kbytes)
562, 17.18, 43.79, 2.34
582, 18.58, 47.06, 2.41
602, 19.59, 50.10, 2.51
622, 21.86, 54.92, 2.63
642, 23.93, 58.45, 2.71
662, 24.21, 62.22, 2.83
682, 26.21, 66.76, 3.03
702, 33.25, 76.34, 3.48
722, 31.60, 79.66, 3.34
742, 33.78, 82.37, 3.41
762, 37.16, 92.04, 3.73
782, 39.54, 94.46, 3.84
802, 41.20, 101.83, 3.94
822, 43.06, 105.01, 3.97
842, 46.54, 114.12, 4.15
862, 46.99, 117.25, 4.13
882, 50.91, 128.52, 4.79
2, 8.59, 10.43, 0.86
22, 1.75, 4.65, 0.50
42, 1.86, 4.88, 0.51
62, 2.07, 5.31, 0.57
82, 2.22, 5.65, 0.60
102, 2.43, 5.98, 0.66
122, 2.65, 6.58, 0.70
142, 3.00, 7.30, 0.83
162, 3.26, 7.77, 0.88
182, 3.58, 8.49, 0.94
202, 3.88, 9.15, 1.01
222, 4.19, 9.90, 1.03
242, 4.77, 11.54, 1.09
262, 5.24, 12.82, 1.15
282, 5.71, 13.90, 1.24
302, 6.14, 14.95, 1.27
322, 6.76, 16.34, 1.39
342, 7.34, 18.15, 1.39
362, 7.96, 19.85, 1.44
382, 8.60, 21.61, 1.48
402, 9.31, 23.24, 1.58
422, 10.11, 25.48, 1.64
442, 10.95, 27.68, 1.76
462, 11.90, 30.19, 1.80
482, 12.63, 31.61, 1.94
502, 13.95, 35.02, 2.00
522, 14.83, 37.52, 2.06
542, 15.83, 40.37, 2.26
562, 17.29, 44.32, 2.30
582, 18.56, 47.15, 2.38
602, 21.42, 50.19, 2.48
622, 21.60, 54.42, 2.60
642, 22.47, 58.05, 2.69
662, 27.84, 65.41, 3.07
682, 29.24, 71.36, 3.24
702, 33.51, 76.58, 3.47
722, 32.83, 79.95, 3.42
742, 31.21, 81.14, 3.29
762, 37.93, 91.87, 3.72
782, 36.30, 92.29, 3.59
802, 41.63, 101.27, 4.00
822, 43.05, 107.85, 4.15
842, 44.99, 114.20, 4.12
862, 43.34, 114.96, 3.99
882, 48.11, 122.35, 4.31
2, 7.65, 12.00, 0.93
22, 1.75, 4.64, 0.51
42, 2.00, 5.11, 0.58
62, 2.06, 5.07, 0.60
82, 2.32, 5.84, 0.67
102, 2.49, 6.08, 0.71
122, 3.00, 6.40, 0.78
142, 2.94, 7.00, 0.82
162, 3.27, 7.69, 0.92
182, 3.59, 8.42, 0.98
202, 3.91, 9.16, 1.05
222, 4.33, 9.98, 1.10
242, 4.92, 11.33, 1.23
262, 5.33, 12.68, 1.25
282, 5.80, 13.93, 1.32
302, 6.26, 14.98, 1.36
322, 6.82, 16.48, 1.41
