Branches, Wall clock time, User time, System time, Memory (kbytes)
62, 2.30, 5.57, 0.59,
72, 2.44, 5.83, 0.63,
82, 2.58, 5.96, 0.67,
92, 2.86, 6.48, 0.73,
2, 1.66, 4.40, 0.49,
12, 1.77, 4.41, 0.53,
22, 2.01, 4.76, 0.58,
32, 2.22, 4.87, 0.54,
42, 2.11, 5.21, 0.57,
52, 3.13, 5.41, 0.61,
62, 2.47, 5.70, 0.68,
72, 2.97, 5.86, 0.64,
82, 3.11, 5.91, 0.73,
92, 2.87, 6.50, 0.74,
2, 2.43, 4.56, 0.55,
12, 1.90, 4.66, 0.58,
22, 2.10, 5.02, 0.61,
32, 1.96, 4.97, 0.55,
42, 2.13, 5.21, 0.61,
52, 2.14, 5.24, 0.58,
62, 2.35, 5.49, 0.64,
72, 2.53, 5.91, 0.68,
82, 2.73, 6.17, 0.68,
92, 2.80, 6.60, 0.71,
2, 1.66, 4.50, 0.51,
12, 1.69, 4.47, 0.48,
22, 1.82, 4.72, 0.52,
32, 1.97, 5.02, 0.55,
42, 2.05, 5.12, 0.55,
52, 2.30, 5.45, 0.63,
62, 2.52, 5.53, 0.67,
72, 3.46, 5.91, 0.64,
82, 3.23, 6.07, 0.66,
92, 2.95, 6.26, 0.68,
