Branches, Wall clock time, User time, System time, Memory (kbytes)
62, 2.44, 5.69, 0.62,
72, 2.57, 5.98, 0.62,
82, 2.84, 6.44, 0.71,
92, 3.26, 6.68, 0.70,
2, 1.68, 4.43, 0.48,
12, 1.72, 4.62, 0.51,
22, 1.86, 4.85, 0.53,
32, 1.98, 4.95, 0.55,
42, 2.63, 5.19, 0.59,
52, 2.58, 5.43, 0.59,
62, 2.57, 5.87, 0.67,
72, 2.83, 6.11, 0.68,
82, 2.87, 6.41, 0.69,
92, 3.25, 6.68, 0.72,
2, 2.03, 4.12, 0.51,
12, 1.69, 4.50, 0.50,
22, 1.91, 4.89, 0.57,
32, 2.08, 5.03, 0.59,
42, 2.19, 5.23, 0.65,
52, 2.69, 5.37, 0.79,
62, 2.75, 5.79, 0.74,
72, 4.42, 6.26, 0.74,
82, 3.36, 6.27, 0.89,
92, 3.96, 6.35, 0.93,
2, 2.03, 4.26, 0.56,
12, 1.70, 4.50, 0.50,
22, 1.86, 4.76, 0.56,
32, 4.23, 5.00, 0.58,
42, 2.44, 5.31, 0.58,
52, 2.26, 5.51, 0.59,
62, 2.46, 5.93, 0.62,
72, 2.78, 6.03, 0.76,
82, 2.81, 6.38, 0.68,
92, 3.08, 6.99, 0.72,
